Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
-0.75,Sat Mar 03 18:11:36 +0000 2018,0.299,0.701,0.0,@UnicornsOfLove,10,RT @lolesports: The @UnicornsOfLove turn around a fight in Bot Lane and pick up 4 kills unscathed! #EULCS https://t.co/yMrJ6YMIAe
0.4199,Sat Mar 03 17:11:33 +0000 2018,0.0,0.763,0.237,@UnicornsOfLove,10,"Ready to face the famous football team @S04Esports ! 🏈

https://t.co/FPnWhCiPE8 https://t.co/i4VLlCFU6h"
0.5267,Sat Mar 03 14:21:40 +0000 2018,0.0,0.833,0.167,@UnicornsOfLove,10,"Tonight at 18:00 CET we will be facing Schalke04
Can we keep the winning streak going?

https://t.co/FPnWhCiPE8 https://t.co/Gx4dwtcbaH"
0.8687,Sat Mar 03 00:01:36 +0000 2018,0.0,0.551,0.449,@UnicornsOfLove,10,"RT @UOL_Totoro: I am happy to have a good game today.
I will show a better game tomorrow! https://t.co/QH2CPf3maO"
0.8346,Fri Mar 02 21:50:58 +0000 2018,0.0,0.707,0.293,@UnicornsOfLove,10,"RT @_SoyoKaze_san: When you get carried by the random minion ! 
@UnicornsOfLove good job with the 4th win in a row!!!!!! 
Hyppeee 
#unicorn…"
0.5461,Fri Mar 02 21:09:10 +0000 2018,0.0,0.819,0.181,@UnicornsOfLove,10,"RT @OGTVLoL: UNICORN @Ailye_Luyah IS READY 🦄. Place à la rencontre entre @UnicornsOfLove et @H2KGG !
📺 https://t.co/OhlArW18kS #OGLoL https…"
0.0,Fri Mar 02 20:19:17 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"RT @LoLEsportsStats: .@ExilehLoL, @UnicornsOfLove and 3 Banner of Commands take down @H2KGG. #EULCS https://t.co/PH1yGek4pQ"
0.6239,Fri Mar 02 20:17:29 +0000 2018,0.0,0.796,0.204,@UnicornsOfLove,10,RT @lolesports: The @UnicornsOfLove take down @H2KGG and pick up their 4th consecutive win! #UOLWIN #EULCS https://t.co/kVaip6rwQk
0.0,Fri Mar 02 20:16:51 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,RT @KoldLoL: Banner of Command boys and girls 😅 keeping the winstreak going! #uolfighting
0.5707,Fri Mar 02 19:55:03 +0000 2018,0.0,0.575,0.425,@UnicornsOfLove,10,"Winning streak confirmed!
GGWP @H2KGG https://t.co/ilZRZ0Ns97"
0.6874,Fri Mar 02 19:06:42 +0000 2018,0.0,0.585,0.415,@UnicornsOfLove,10,"The real MVP of the game 

GG WP @H2KGG 💕 https://t.co/d1Hdy9coCL"
0.6871,Fri Mar 02 17:57:57 +0000 2018,0.138,0.477,0.385,@UnicornsOfLove,10,"Facing H2K really soon!
Super Totoro is ready to fight! 

https://t.co/FPnWhCiPE8 https://t.co/Onj3LNEygf"
0.886,Fri Mar 02 15:24:19 +0000 2018,0.0,0.669,0.331,@UnicornsOfLove,10,"Today we will face our 4 wins brothers @H2KGG 
As much as we loved sharing the same spot as you guys, it's coming t… https://t.co/5SmjJCkiVy"
0.6696,Thu Mar 01 18:10:03 +0000 2018,0.0,0.69,0.31,@UnicornsOfLove,10,We'll do our best to bring more victories this week! 🤞 https://t.co/X8xiZuP2bt
0.5106,Thu Mar 01 17:04:12 +0000 2018,0.0,0.829,0.171,@UnicornsOfLove,10,"Together with @md_zwitschert and @CYasarlar, @SheepyLoL and @ExilehLoL had a lot of fun discussing the esports tari… https://t.co/kHX1pRVCAA"
0.2023,Thu Mar 01 12:16:56 +0000 2018,0.087,0.795,0.117,@UnicornsOfLove,10,"RT @cybersportcom: #EULCS -  Every week we lost, we went back home, and we trusted in the process that we are building something."" - @KoldL…"
0.8475,Wed Feb 28 17:05:29 +0000 2018,0.0,0.604,0.396,@UnicornsOfLove,10,"Unicorns!

Come watch our best plays from last week where we played against Splyce and Roccat ! 💕

https://t.co/s6y2S745rJ"
0.0,Wed Feb 28 15:36:05 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,RT @GraveCascade: I finally got it framed!🦄 https://t.co/EvBoA0sYZq
0.5411,Tue Feb 27 17:40:59 +0000 2018,0.0,0.775,0.225,@UnicornsOfLove,10,Raise your hand if you can't wait for LCS to start again! https://t.co/ovIwhn63dp
-0.5423,Mon Feb 26 18:19:26 +0000 2018,0.333,0.667,0.0,@UnicornsOfLove,10,@FeelsBadManGUN @md_zwitschert I tried once and it was horrible
-0.5994,Mon Feb 26 17:58:27 +0000 2018,0.178,0.822,0.0,@UnicornsOfLove,10,In unserer Live Session mit @md_zwitschert habt ihr euch für die ultimative Spiele-App entschieden und uns mit  tol… https://t.co/DNrtEF6v1O
0.2023,Mon Feb 26 17:21:18 +0000 2018,0.0,0.886,0.114,@UnicornsOfLove,10,"RT @BennyIbLoL: (E-)Sports-Psychology tip No2:

Prepare for important events (LCS, exams, ranked,..) by developing a #standardizedroutine.…"
0.9097,Mon Feb 26 15:01:23 +0000 2018,0.0,0.511,0.489,@UnicornsOfLove,10,"Happy Birthday @KoldLoL ! 🎂
Give a lot of love today to our favorite Danish player! 💕🇩🇰 https://t.co/upQ9XwBWPs"
0.5267,Mon Feb 26 10:54:48 +0000 2018,0.0,0.848,0.152,@UnicornsOfLove,10,"RT @NyanNic_pwq: another @UnicornsOfLove fanart
this time in celebration of the 2-0 week ^^

Champions included: Gnar, Jarvan, Azir, Trista…"
0.3612,Mon Feb 26 10:54:28 +0000 2018,0.0,0.783,0.217,@UnicornsOfLove,10,RT @HotSoup52202145: Thx @TrustGamingGXT @UnicornsOfLove for dis new stuff ❤ https://t.co/mZvbkx26JU
-0.7003,Sun Feb 25 18:17:33 +0000 2018,0.453,0.547,0.0,@UnicornsOfLove,10,TFW you deal 10K damage in a team fight 🦄 https://t.co/Zy4joRhh5H
0.8718,Sun Feb 25 00:31:34 +0000 2018,0.0,0.647,0.353,@UnicornsOfLove,10,"RT @KoldLoL: Super happy with the progress we are showing, but we still have a long way to go. Playoffs is the goal! GG @ROCCAT"
0.7841,Sat Feb 24 20:01:36 +0000 2018,0.046,0.699,0.255,@UnicornsOfLove,10,"RT @UOL_Totoro: It was a tough game for me today yesterday.
But I am sure that the my team has won because they did it very well.
Next week…"
0.8126,Sat Feb 24 19:57:52 +0000 2018,0.107,0.537,0.356,@UnicornsOfLove,10,"RT @ESPN_Esports: Exileh's 48,700 damage on Azir helps Unicorns of Love take a win over ROCCat in the #EULCS

https://t.co/lakBVQwGEI https…"
0.75,Sat Feb 24 17:54:01 +0000 2018,0.0,0.758,0.242,@UnicornsOfLove,10,"RT @LoLEsportsStats: @ExilehLoL secures his first #EULCS win on Azir, capping off the game with an almost pentakill!

He's also your player…"
0.0,Sat Feb 24 17:50:39 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,@sjokz @lolesports @Amazingxlol @RiotDeficio @DanielDrakos @LaureBuliiV @MedicCasts @PiraTechnics @RiotQuickshot… https://t.co/Kx0aLZrkvh
0.7869,Sat Feb 24 17:49:46 +0000 2018,0.0,0.593,0.407,@UnicornsOfLove,10,"RT @WhiteKnight108: 2-0 FeelsGoodMan, could have played better myself, but my team is playing really well, godbless 🙌"
0.658,Sat Feb 24 17:32:58 +0000 2018,0.0,0.795,0.205,@UnicornsOfLove,10,"Another win the bag, ending the week on 2-0!
Time to catch up to the other teams! https://t.co/sFkLvCwykC"
0.4912,Sat Feb 24 15:58:01 +0000 2018,0.082,0.707,0.211,@UnicornsOfLove,10,"Welcome to the circus ! 🎪

Come watch us try to tame some ferocious kitties ! https://t.co/JbeMa9ymyG"
0.7232,Sat Feb 24 14:06:37 +0000 2018,0.0,0.784,0.216,@UnicornsOfLove,10,"Unicorns!

We will be facing Roccat today at 17:00 CET
So far we've won 100% of our games when playing the first ma… https://t.co/qGRJ2OI7E5"
0.0,Sat Feb 24 13:08:20 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"Check out our new episode of Sheepy's breakdown!
This time explaining the thought process behind our invade lvl 1 a… https://t.co/qyjayHeJiv"
