Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
0.9352,Sun Mar 25 03:36:02 +0000 2018,0.0,0.607,0.393,@clgaming,1,"RT @gsmVoiD: 9th super stings man. I had a lot of fun here, both competing and hanging out, so I hope I get to do it more! I wish I did bet…"
0.0,Sun Mar 25 03:00:18 +0000 2018,0.0,1.0,0.0,@clgaming,1,".@gsmVoiD almost manages to bring it back, but ultimately falls to CaptainZack and will end his run at… https://t.co/l6KaXnyalu"
-0.6892,Sun Mar 25 02:42:05 +0000 2018,0.274,0.638,0.088,@clgaming,1,".@gsmVoiD fell to Mistake, but he's not out yet! Now facing CaptainZack to make Losers Top 8! #LetsGoVoiD… https://t.co/gFqn89iujo"
0.7644,Sun Mar 25 01:38:24 +0000 2018,0.095,0.551,0.354,@clgaming,1,".@gsmVoiD is now up against Mistake in Winners Quarterfinals. Winner moves on to Top 8! #LetsGoVoiD

📺… https://t.co/SFSwToKLnM"
0.4914,Sun Mar 25 00:54:15 +0000 2018,0.086,0.724,0.19,@clgaming,1,"RT @CLG_PewPewU: Whooo! I made it out in winner's defeating Lucky to make it out.

Very excited that my Fox vs Marth plans are paying divid…"
0.926,Sun Mar 25 00:52:41 +0000 2018,0.0,0.523,0.477,@clgaming,1,RT @SFAT: Skated by to make Top 48 winners. Played too tight today.  Gonna get some good rest and play much better tomorrow.
0.6688,Sun Mar 25 00:16:21 +0000 2018,0.0,0.732,0.268,@clgaming,1,"Let's go @gsmVoiD! He's live in Winners Top 32 at Smash Masters League: #BattleForVegas! #CLGFIGHTING

📺… https://t.co/5sYlDi9knj"
-0.5615,Sat Mar 24 23:08:34 +0000 2018,0.227,0.633,0.14,@clgaming,1,RT @gsmVoiD: Barely scraped my way into top 32 😅 I have to play Fatality as my first match. We haven't played in a long time!
0.8074,Sat Mar 24 22:11:31 +0000 2018,0.0,0.696,0.304,@clgaming,1,Great series but we were unable to close it out. Well played @GoingRogueGG. Our next game will be in two weeks.… https://t.co/gMri0JJIjy
0.7974,Sat Mar 24 21:40:00 +0000 2018,0.0,0.705,0.295,@clgaming,1,"WHAT A SAVE! @MijoRL kept the game alive and we were able to take game one! #RLCS

➡️ https://t.co/6HU75PCpk4 https://t.co/X6VROhmYwI"
-0.2695,Sat Mar 24 21:32:01 +0000 2018,0.122,0.878,0.0,@clgaming,1,"We strike first! 🔥 We are currently up 2-1 against @GoingRogueGG in game 1! 

➡️ https://t.co/6HU75PCpk4 https://t.co/wIhrd98dew"
0.6996,Sat Mar 24 21:15:39 +0000 2018,0.0,0.79,0.21,@clgaming,1,We are looking to bounce back against @GoingRogueGG next on stream. 👊 Let's get this win boys! #RLCS #CLGFIGHTING… https://t.co/hGIVDTkUij
0.5255,Sat Mar 24 20:58:00 +0000 2018,0.0,0.726,0.274,@clgaming,1,RT @SFAT: Woo! #PewFat takes #FB4 doubles GFs. GGs @TeamLiquid
0.1901,Sat Mar 24 20:27:35 +0000 2018,0.063,0.8,0.137,@clgaming,1,Well played @NRGgg. We struck first but we were unable to take the series. We will be facing @GoingRogueGG at 3:00… https://t.co/Wbcn51zV4o
0.9279,Sat Mar 24 20:27:17 +0000 2018,0.077,0.502,0.421,@clgaming,1,"RT @CLG_PewPewU: HOOOOLY COW WE WON! Game 10 battle against @LiquidHbox and @LiquidChu. Such a nailbiter, great games guys!!

GREAT JOB @SF…"
0.7959,Sat Mar 24 20:19:42 +0000 2018,0.0,0.706,0.294,@clgaming,1,"A full 10 games later, #PewFat emerges victorious and are your #FB4 Doubles Champions 🏆!  GGWP and congrats to… https://t.co/4PbY3tuutM"
0.0,Sat Mar 24 19:53:48 +0000 2018,0.0,1.0,0.0,@clgaming,1,"RT @RLEsports: Now with our next NA match, we have @NRGgg taking on @clgaming!

#RLCS

https://t.co/PpKjSDWZR1 https://t.co/1onZAzLuK8"
0.4574,Sat Mar 24 19:44:58 +0000 2018,0.0,0.88,0.12,@clgaming,1,We have two #RLCS matches today! 🔥 We are about to get started against @NRGgg next on stream. Tune in and support t… https://t.co/eGAmQcpkrt
0.5093,Sat Mar 24 19:37:06 +0000 2018,0.0,0.852,0.148,@clgaming,1,"#FB4 Doubles Grand Finals is live now w/ #PewFat vs Hungrybox &amp; ChuDat
Let's bring it home! #CLGFIGHTING

📺… https://t.co/A7ALet1si6"
0.8689,Sat Mar 24 18:59:44 +0000 2018,0.0,0.62,0.38,@clgaming,1,RT @CLG_PewPewU: #PewFat is in Grand Finals now waiting for our next opponents after a 3-1 win over S2j/Shroomed :)
0.5696,Sat Mar 24 18:29:33 +0000 2018,0.0,0.813,0.187,@clgaming,1,"#PewFat goes up against S2J &amp; Shroomed right now in Winners Finals! Let's go! 🔥 #CLGFIGHTING

📺… https://t.co/xm6AJoulW8"
0.5972,Sat Mar 24 17:28:11 +0000 2018,0.064,0.718,0.219,@clgaming,1,We're into the Top 8 of Doubles at #FB4! #PewFat takes on Crush &amp; Ryan Ford in Winners Semifinals. Tune in!… https://t.co/5m5AXXmkM8
-0.3818,Sat Mar 24 17:19:59 +0000 2018,0.115,0.885,0.0,@clgaming,1,Smash Masters League: Battle for Vegas is getting started here in just a couple of hours. Our very own @gsmVoiD wil… https://t.co/D2KnZO5RoD
0.0,Sat Mar 24 17:00:00 +0000 2018,0.0,1.0,0.0,@clgaming,1,"""You have to box her!"" 

Watch CLG REACTS ft. @DarshanU, @Zikzlol, @CLG_Auto, + @FallenBandit!

Full Video ➡️… https://t.co/H2aSFTbJ18"
0.8172,Sat Mar 24 15:10:20 +0000 2018,0.0,0.727,0.273,@clgaming,1,Full Bloom 4 Day 1 starts now! Best of luck to @SFAT &amp; @CLG_PewPewU as they compete in Melee Doubles &amp; Singles this… https://t.co/R3hwWjkBfv
0.0,Sat Mar 24 00:53:47 +0000 2018,0.0,1.0,0.0,@clgaming,1,@Shonduras @TrifectaGG @Homiefe 😏
0.4404,Sat Mar 24 00:06:01 +0000 2018,0.0,0.818,0.182,@clgaming,1,RT @Hurriwind: GGs to @TrifectaGG.  2-0 start and I couldn't ask for much better. FeelsGoodMan
-0.5461,Sat Mar 24 00:00:01 +0000 2018,0.261,0.739,0.0,@clgaming,1,"CLG FIGHTING EP. 06: Focus is out now!

➡️ https://t.co/fdlmVrlNZd https://t.co/LCvTRdPM36"
0.5743,Fri Mar 23 23:25:34 +0000 2018,0.0,0.823,0.177,@clgaming,1,RT @SmitePro: GG! @CLGaming dominates Game 3 to take the first #SPL NA set of the day! Stay tuned for more action with a post-Vegas rematch…
0.6892,Fri Mar 23 23:24:47 +0000 2018,0.0,0.516,0.484,@clgaming,1,@TrifectaGG GGs! It was a great series!
0.7163,Fri Mar 23 23:23:15 +0000 2018,0.0,0.808,0.192,@clgaming,1,Great showing by our Smite team! We take the series 2-1 over @TrifectaGG! Off to a 2-0 start on the season! 👍 #SPL… https://t.co/NhIGgDlWa0
0.6749,Fri Mar 23 22:58:25 +0000 2018,0.0,0.799,0.201,@clgaming,1,".@NickAllen did this fantastic interview with @TravisGafford! 😂

Watch for insight into what CLG is doing in the of… https://t.co/NMXtF7pvXM"
0.6239,Fri Mar 23 22:00:11 +0000 2018,0.0,0.854,0.146,@clgaming,1,RT @SmitePro: The first win of today's NA #SPL broadcast goes to @CLGaming! Will the boys of @trifectagg be able to make a comeback in Game…
0.0,Fri Mar 23 21:17:47 +0000 2018,0.0,1.0,0.0,@clgaming,1,RT @SmitePro: Picks and bans are in for Game 1 between @TrifectaGG and @CLGaming. Tune in now to watch an all-out NA brawl! https://t.co/m7…
0.743,Fri Mar 23 20:41:33 +0000 2018,0.0,0.769,0.231,@clgaming,1,Our Smite team is getting ready to take on @TrifectaGG in about 20 min.  👊 Looking for our second win of the season… https://t.co/IXG79IdTGh
0.0,Fri Mar 23 18:46:17 +0000 2018,0.0,1.0,0.0,@clgaming,1,With our Smite team taking on @TrifectaGG today. We asked @Homiefe what was the hardest lesson he had learned from… https://t.co/cv2q2T5rZE
0.0,Fri Mar 23 18:26:35 +0000 2018,0.0,1.0,0.0,@clgaming,1,@CLG_PewPewU  https://t.co/iGDcrHp7t2
0.2714,Fri Mar 23 17:55:40 +0000 2018,0.0,0.852,0.148,@clgaming,1,"RT @gsmVoiD: Last stream pre-Smash Masters! Playing a bit of Fighterz for now
https://t.co/J1QJuwU7LX"
0.0,Thu Mar 22 22:29:46 +0000 2018,0.0,1.0,0.0,@clgaming,1,"With @SFAT and @CLG_PewPewU competing in Full Bloom 4 on Saturday, throwback to #EGLX! #TBT 🎮

🖼️… https://t.co/kAhidUQ9bU"
0.7506,Thu Mar 22 21:49:57 +0000 2018,0.0,0.632,0.368,@clgaming,1,RT @H1Photographer: Enjoy the relaxing sounds of @Flamehopper Hosted Games on @h1z1 https://t.co/rjheYDPPe7
0.0,Thu Mar 22 20:27:42 +0000 2018,0.0,1.0,0.0,@clgaming,1,"RT @H1Z1ProLeague: Meet the #H1PL Org: @clgaming 

https://t.co/YLTNoMn9VF"
0.0,Thu Mar 22 20:23:14 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Who wants to know how @gsmVoiD feels about Smash on the Nintendo Switch? 🤔

➡️ https://t.co/CmZiHG6uLa https://t.co/eUhhkUDDmk"
